"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","topic"
"RT @MyHottestDay: ZOMBIE by Youngk (ft Onewe) 🥺😭😭❤

#Day6 #데이식스 #원위 #onewe https://t.co/wRiMGtL0r5",FALSE,0,NA,2020-06-02 02:51:14,FALSE,NA,"1267649948771684357",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","youfuniamnot",1091,TRUE,FALSE,NA,NA,"zombie"
"RT @mydaycorner: #DAY6 Young K feat Onewe - Zombie by DAY6 https://t.co/IizqVeJlhw",FALSE,0,NA,2020-06-02 02:51:10,FALSE,NA,"1267649932451700738",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whoisnamsayin",500,TRUE,FALSE,NA,NA,"zombie"
"@amyo_rosco @foxymarieee The thing is Amy, a lot of black Americans can’t and won’t call the police though. If some… https://t.co/sx18N3En4n",FALSE,0,"amyo_rosco",2020-06-02 02:51:04,TRUE,"1267648298174775296","1267649908716130304","601515717","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zombie_mamii",0,FALSE,FALSE,NA,NA,"zombie"
"RT @AlexLunaViewof1: @realDonaldTrump Anyone know why these cops are unloading bricks from the back of a truck?
Maby 5G got to the ones pro…",FALSE,0,NA,2020-06-02 02:51:04,FALSE,NA,"1267649906526900225",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FashionConscBtc",8,TRUE,FALSE,NA,NA,"zombie"
"@KurtVenetis @InitiativeRole @phyrce @vaughn_romero @Hjorimir The only acceptable zombie lord.",FALSE,1,"KurtVenetis",2020-06-02 02:50:56,FALSE,"1267649751241101313","1267649876373811201","1142426663453691904","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TraylorAlan",0,FALSE,FALSE,NA,NA,"zombie"
"RT @dinowebkinz: huntington beach two weeks ago protesting the beaches closing vs today at the black lives matter protest... https://t.co/7…",FALSE,0,NA,2020-06-02 02:50:52,FALSE,NA,"1267649856929173505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zombie_bean",61855,TRUE,FALSE,NA,NA,"zombie"
"RT @RetaK47: @Zombie_Moth @jpegjoshua To start, they are breaking the curfew that started at 6pm. https://t.co/kgCc6JykE7",FALSE,0,NA,2020-06-02 02:50:38,FALSE,NA,"1267649798896746496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","plrnyny",1,TRUE,FALSE,NA,NA,"zombie"
"RT @MyHottestDay: ZOMBIE cover by Onewe

#Day6 #onewe #데이식스 #원위 https://t.co/LFYySvAU5K",FALSE,0,NA,2020-06-02 02:50:36,FALSE,NA,"1267649791212675073",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cloudouns",538,TRUE,FALSE,NA,NA,"zombie"
"RT @AlexLunaViewof1: @MarkDice @jack Anyone know why these cops are unloading bricks from the back of a truck?
Maby 5G got to the ones prot…",FALSE,0,NA,2020-06-02 02:50:33,FALSE,NA,"1267649777673449472",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","scaredEcat111",75,TRUE,FALSE,NA,NA,"zombie"
"RT @AlexLunaViewof1: @MarkDice @jack Anyone know why these cops are unloading bricks from the back of a truck?
Maby 5G got to the ones prot…",FALSE,0,NA,2020-06-02 02:50:27,FALSE,NA,"1267649752197365761",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emilbordon",75,TRUE,FALSE,NA,NA,"zombie"
