"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","topic"
"RT @AWEONAOJUSTIN: In my country, Chile, we spent 6 months in a social outburst, where the police repressed us every day!
So, my people fro…",FALSE,0,NA,2020-06-03 03:11:10,FALSE,NA,"1268017352479629312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emelyyyym",19270,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @glossywife: If you can’t donate, search “Stream to donate” and follow the directions! The money from the ads in the videos will be dona…",FALSE,0,NA,2020-06-03 03:11:10,FALSE,NA,"1268017352387342337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","outroafterglow",1906,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @AndersonPaak: “ DADDY CHANGED THE WORLD! “

#georgefloyd #blacklivesmatter #blackoutday2020 https://t.co/Qx866cVeyl",FALSE,0,NA,2020-06-03 03:11:10,FALSE,NA,"1268017352169402371",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","justwaiton__it",4270,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @yungniger: BLACK LIVES MATTER

this for the one’s who stood up for our community and movement. feel inspired. feel enraged. feel emotio…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017351926132739",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RAAWNUHH",30,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @PopCrave: .@KekePalmer makes an impassioned plea for the National Guard to join the #BlackLivesMatter protest in LA today. https://t.co…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017351884079104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","denbron77",2004,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @kiesdaya: thread of petitions you can sign for #BlackLivesMatter",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017351754166273",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KiddTrooper",79111,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @Strawman1616: Been searching for the right words of support. In the end today, realized that Jonathan Toews said it better than I ever…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017351678742528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tisdale_allison",1,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @MPhillipyF: I worry that the killing of  #BreonaTaylor is getting lost in the noise. We cannot forget how she was “accidentally” shot 8…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017351582089216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alisssurs",152324,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @MPhillipyF: I worry that the killing of  #BreonaTaylor is getting lost in the noise. We cannot forget how she was “accidentally” shot 8…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017351531933698",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Annayek___",152324,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @YourAnonCentral: Hundreds of thousands take the streets in France in support of Black Lives Matter. They demand an end to racism, impun…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017351489998848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","b_chapz",49033,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @yellowpikmins: TO THOSE WHO PHYSICALLY CANNOT DONATE/PROTEST: READ THIS!!! 

a woman named Zoe Amira has set up an hour long video of a…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017351183589377",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sunaketchup",7304,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @kvsee1: we had a peaceful protest in Liverpool today, I couldn’t believe how huge turnout was! ✊🏽✊🏾✊🏿#BlackLivesMatter https://t.co/oqs…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017351091523584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VindictiveDream",102,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @mamidiabIa: clifton nj, i am so proud. we showed out today. it felt so incredibly powerful. here’s a video of a young man speaking his…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017351003430913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sooo_Mel",218,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @JoshuaPotash: Holy shit Puerto Rico just brought a guillotine to the Governor’s mansion for their #BlackLivesMatter protest.

 https://…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017350999076865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Crypticus",8981,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @YourAnonCentral: What the @realDonaldTrump regime shows you vs reality. This is what State media doesn't want you to see. #ICantBreathe…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017350957133825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tommy707_",15670,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @yerongss: That's why I am vocal BLM movement.

#blacklivesmatter #blm #nojusticenopeace #noracism #nodiscrimination #예롱 #예롱작가 #예롱쓰의낙서만화…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017350911164418",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eunmisterio",4425,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @JoshuaPotash: Holy shit Puerto Rico just brought a guillotine to the Governor’s mansion for their #BlackLivesMatter protest.

 https://…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017350890192896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jewelssea",8981,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @BerniceKing: “Daddy changed the world.” 
~6 year-old Gianna Floyd about her father, #GeorgeFloyd. 🖤

#BlackLivesMatter https://t.co/Ija…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017350818664448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_yogjain",2147,TRUE,FALSE,NA,NA,"blacklivesmatter"
"RT @BCB_G: BREONNA TAYLOR. the police broke into her home, shot her 8 times killing her while she was asleep. THE POLICE BROKE INTO THE WRO…",FALSE,0,NA,2020-06-03 03:11:09,FALSE,NA,"1268017350781087746",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mylifeeaserica",20516,TRUE,FALSE,NA,NA,"blacklivesmatter"
