"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","topic"
"RT @xxJayAero: open your heart and follow your rainbow 🌈✨

#sonic #sth #sonicthehedgehog #pride #pride2020 #pridemonth https://t.co/9RK3JHy…",FALSE,0,NA,2020-06-03 02:26:52,FALSE,NA,"1268006205634510848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thelazypierrot",434,TRUE,FALSE,NA,NA,"rainbow"
"Selling rainbow armlets and rainbow ears for 10 each, you can pay for one anyways. I'm just really desperate at thi… https://t.co/DNETCXvg79",FALSE,0,NA,2020-06-03 02:26:50,TRUE,NA,"1268006196218220544",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","waaaa11659917",0,FALSE,FALSE,NA,NA,"rainbow"
"RT @Roseanepics: BLACK                          PINK https://t.co/5zVBoro6CP",FALSE,0,NA,2020-06-03 02:26:49,FALSE,NA,"1268006194146234368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_rainbow_10",752,TRUE,FALSE,NA,NA,"rainbow"
"@JojiMasu i mean it CAN be used by anyone in support but its mostly used by black people and poc.
plus i dont think… https://t.co/ITWCPW6bJz",FALSE,0,"JojiMasu",2020-06-03 02:26:48,TRUE,"1268001230531543040","1268006188500824064","2916829690","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","momostuck",0,FALSE,FALSE,NA,NA,"rainbow"
"RT @Melaniejordaan5: We need to start a PETITION TO SUE GOVERNMENT...ALL RAINBOW PEOPLE  WHO LOST JOBS..WENT HUNGRY..GOT ABUSED... WERE VIC…",FALSE,0,NA,2020-06-03 02:26:44,FALSE,NA,"1268006173141327874",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheBow_Hunter",51,TRUE,FALSE,NA,NA,"rainbow"
"RT @SB19Official: @YouStellTheOne [#SB19_KEN] dance of the fire God, parhelion rainbow!",FALSE,0,NA,2020-06-03 02:26:41,FALSE,NA,"1268006158536593409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Missjassy8",433,TRUE,FALSE,NA,NA,"rainbow"
"@kodzukuro dont worry when my teacher asked a year ago what was rhe text that changef us i put those rainbow fairy booKS AHAJKSJAHAHAJ",FALSE,0,"kodzukuro",2020-06-03 02:26:39,FALSE,"1268005904164646913","1268006150001192961","848498763815464960","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kkodzume",0,FALSE,FALSE,NA,NA,"rainbow"
"RT @packman_suave: Why white people call us “colored people” when they the ones that turn into a whole rainbow when bruises or when in the…",FALSE,0,NA,2020-06-03 02:26:35,FALSE,NA,"1268006135019249664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drummer455",1,TRUE,FALSE,NA,NA,"rainbow"
"RT @vapidmarie: 🏳️‍🌈 RAINBOW FLOOR LIGHTS GIVEAWAY 🏳️‍🌈

In celebration of Pride Month, I'm giving away a full set (8 colors) of floor ligh…",FALSE,0,NA,2020-06-03 02:26:28,FALSE,NA,"1268006104639983617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ghosts_pal_nat",729,TRUE,FALSE,NA,NA,"rainbow"
"RT @melanatedmomma: i know some people don’t have access to in person apothecaries or herbal stores rn. all of my herbs, roots, spiritual c…",FALSE,0,NA,2020-06-03 02:26:27,FALSE,NA,"1268006099237711873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leanna_vallone",71,TRUE,FALSE,NA,NA,"rainbow"
