"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","topic"
"RT @itsgabrielleu: Again and again and again and again. It never ends. Last night in my hometown of Omaha Nebraska #JamesScurlock #BlackLiv…",FALSE,0,NA,2020-06-01 04:01:14,FALSE,NA,"1267305179801681920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ATribeCalled_J",8256,TRUE,FALSE,NA,NA,"BlackLivesMatter"
"It’s crazy that looters are jeopardizing the reputation of the BLM movement just for a new pair of kicks. Looters b… https://t.co/tnewIuHGLO",FALSE,0,NA,2020-06-01 04:01:14,TRUE,NA,"1267305179642241030",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LiamVIX",0,FALSE,FALSE,NA,NA,"BlackLivesMatter"
"A way to show you support your local businesses. STOP RUINING INNOCENT LIVES! #BusinessLivesMatter… https://t.co/UNBl8VVFQh",FALSE,0,NA,2020-06-01 04:01:14,TRUE,NA,"1267305179637886981",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LeeCoVACitizens",0,FALSE,FALSE,NA,NA,"BlackLivesMatter"
"RT @YourAnonCentral: Multiple reports across the United States that security forces are deliberately kneeling on the necks of captured prot…",FALSE,0,NA,2020-06-01 04:01:14,FALSE,NA,"1267305179432583169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HittelmanSophia",33156,TRUE,FALSE,NA,NA,"BlackLivesMatter"
"RT @AubreeSparks: #blacklivesmatter 
Abq I’m so proud 
*not my photo* https://t.co/FtrrMNwU8h",FALSE,0,NA,2020-06-01 04:01:14,FALSE,NA,"1267305179319156739",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BraxOnRacks",43,TRUE,FALSE,NA,NA,"BlackLivesMatter"
"RT @YourAnonCentral: .@realDonaldTrump looking out the window as his entire world collapses around him. Taken inside White House. 

#ICantB…",FALSE,0,NA,2020-06-01 04:01:14,FALSE,NA,"1267305179222691840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mirandam1231",10593,TRUE,FALSE,NA,NA,"BlackLivesMatter"
"RT @BIZZLESBLESSING: THREAD OF PETITIONS I SIGNED THAT YOU MAY NOT HAVE SEEN YET! PLEASE SIGN AND SHARE TO FRIENDS AND FAMILY! #blacklivesm…",FALSE,0,NA,2020-06-01 04:01:14,FALSE,NA,"1267305179163967488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","antonephew",1178,TRUE,FALSE,NA,NA,"BlackLivesMatter"
"I remember when they didn’t fire a racist police officer on the force. Naturally Ed legitimizes that. 

#mapoli… https://t.co/vN87BtdhvJ",FALSE,0,NA,2020-06-01 04:01:14,TRUE,NA,"1267305178736332801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ScamwellTarly",0,FALSE,FALSE,NA,NA,"BlackLivesMatter"
"RT @YourAnonCentral: Nurse working at the medical tent, treating people injured by security forces. :

Regime military police opened fire o…",FALSE,0,NA,2020-06-01 04:01:14,FALSE,NA,"1267305178694389760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CryptoBalto",18452,TRUE,FALSE,NA,NA,"BlackLivesMatter"
"RT @Tinowo_: I obviously can't do much to help the cause but i wanted to show my support ✨ #BlackLivesMatter https://t.co/1igTKuadjV",FALSE,0,NA,2020-06-01 04:01:14,FALSE,NA,"1267305178534838272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","probsanartist",14,TRUE,FALSE,NA,NA,"BlackLivesMatter"
