"ProviderName","Address","PhoneNumber","stLevel","cityLevel","zip","country","city","state","stateAbb","county","lat","lon","COUNTYNAME","STATE","STCOUNTYFP","CLASSFP","dupeLocation"
"QuickCare Family Medicine - Birmingham Doctors - Birmingham Urgent Care","3205 Lorna Road #103  Birmingham, AL   ZIP 35216","(205) 822-2748","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-birmingham-alabama","35216","US","Birmingham","Alabama","AL","Jefferson",33.4188,-86.7867,"Jefferson County","AL",1073,"H1",FALSE
"QuickCare Family Medicine - Birmingham Doctors - Birmingham Urgent Care","3205 Lorna Road #103  Birmingham, AL   ZIP 35216","(205) 822-2748","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-birmingham-alabama","35216","US","Birmingham","Alabama","AL","Jefferson",33.4188,-86.7867,"Shelby County","AL",1117,"H1",TRUE
"River Chase Urgent Care","1924 Highway 31 South, Birmingham, AL 35244, United States  Birmingham, AL   ZIP 35244","(205) 988-3715","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-birmingham-alabama","35244","US","Birmingham","Alabama","AL","Jefferson",33.3538,-86.8254,"Jefferson County","AL",1073,"H1",FALSE
"River Chase Urgent Care","1924 Highway 31 South, Birmingham, AL 35244, United States  Birmingham, AL   ZIP 35244","(205) 988-3715","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-birmingham-alabama","35244","US","Birmingham","Alabama","AL","Jefferson",33.3538,-86.8254,"Shelby County","AL",1117,"H1",TRUE
"Trussville Urgent Care","1960 Gadsden Highway #108  Birmingham, AL   ZIP 35235","(205) 655-1016","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-birmingham-alabama","35235","US","Birmingham","Alabama","AL","Jefferson",33.6328,-86.6493,"Jefferson County","AL",1073,"H1",FALSE
"UAB Medicine Urgent Care","125 20th Street South  Birmingham, AL   ZIP 35233","(205) 801-5251","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-birmingham-alabama","35233","US","Birmingham","Alabama","AL","Jefferson",33.5062,-86.8003,"Jefferson County","AL",1073,"H1",FALSE
"Compass Urgent Care","9985 Airport Boulevard  Mobile, AL   ZIP 36608","(251) 633-2273","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-mobile-alabama","36608","US","Mobile","Alabama","AL","Mobile",30.6817,-88.2945,"Mobile County","AL",1097,"H1",FALSE
"Greater Mobile Urgent Care","2350 Schillinger Road South  Mobile, AL   ZIP 36695","(251) 633-0123","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-mobile-alabama","36695","US","Mobile","Alabama","AL","Mobile",30.6474,-88.2292,"Mobile County","AL",1097,"H1",FALSE
"Greater Mobile Urgent Care - Springhill","4402 Old Shell Road  Mobile, AL   ZIP 36608","(251) 633-0123","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-mobile-alabama","36608","US","Mobile","Alabama","AL","Mobile",30.6817,-88.2945,"Mobile County","AL",1097,"H1",FALSE
"Hillcrest Urgent Care","2370 Hillcrest Road  Mobile, AL   ZIP 36695","(251) 459-6200","https://urgentcarelist.com/directory/state-al-alabama","https://urgentcarelist.com/directory/urgent-care-in-mobile-alabama","36695","US","Mobile","Alabama","AL","Mobile",30.6474,-88.2292,"Mobile County","AL",1097,"H1",FALSE
